5	2406
160	393
24	153
64	216
9	392
9	327
9	286
1	365
8	192
5	190
17	337
1	191
8	157
4	108
1	126
8	150
4	118
1	111
8	140
5	108
1	90
8	141
5	107
1	102
8	121
5	98
20	78
3	109
1	101
8	127
5	102
3	142
20	135
56	148
48	176
9	124
12	271
9	133
12	230
1	126
8	137
4	100
1	92
8	113
4	96
64	389
88	322
10	223
1	108
8	151
4	149
1	117
8	116
6	106
1	98
8	111
4	96
20	81
18	99
18	106
36	165
32	89
1	163
8	118
35	109
36	106
1	132
8	142
4	97
1	89
8	100
4	109
1	102
8	97
4	102
1	105
8	121
4	100
20	106
12	123
24	115
15	104
20	111
12	88
24	128
15	102
20	95
20	97
1	130
8	129
16	111
32	112
29	84
1	145
8	138
4	90
1	102
8	107
4	96
20	74
1	126
8	115
16	92
32	120
18	106
20	85
1	138
8	117
16	107
17	121
20	79
1	148
8	98
16	101
20	103
20	138
18	100
18	91
36	127
32	85
32	99
64	123
49	91
1	131
8	138
5	86
1	125
8	125
5	105
1	102
8	133
5	100
1	99
8	123
5	112
1	112
8	118
5	95
1	100
8	119
5	99
1	104
8	120
5	110
1	100
8	106
5	96
1	101
8	92
5	96
1	97
8	108
5	106
1	96
8	113
5	91
1	122
8	126
5	102
1	103
8	120
5	90
1	100
8	118
5	86
1	96
8	120
5	101
1	103
8	124
5	93
1	96
8	130
5	88
1	106
8	125
5	100
1	101
8	124
5	113
1	103
8	134
5	103
1	106
8	134
5	95
1	107
8	122
5	109
1	93
8	107
5	109
11	81
3	106
11	77
2	98
18	108
11	155
11	119
11	283
11	242
200	694
72	735
64	558
20	435
1	946
8	236
4	171
1	181
8	257
6	128
1	150
8	222
5	137
1	187
8	198
5	229
1	183
8	195
5	201
1	126
8	136
5	481
1	147
8	150
5	102
1	96
8	136
5	125
1	93
8	147
5	111
1	129
8	123
5	99
1	110
8	139
5	109
1	84
8	148
5	112
1	108
8	142
5	122
1	95
8	138
5	93
1	112
8	135
6	105
1	94
8	133
5	112
1	100
8	136
5	117
1	118
8	132
5	108
1	89
8	136
5	103
1	97
8	134
5	103
11	89
3	129
11	131
11	134
64	215
832	545
64	133
32	298
48	178
96	170
768	769
1104	856
11600	349
1120	369
40	256
32	263
40	191
24	174
32	197
24	654
32	168
200	331
200	236
24	257
32	187
24	233
32	201
14	112
14	102
14	134
14	84
365	232
6	284
5	173
128	237
3	179
1	164
200	380
32	168
304	569
32	250
304	268
304	202
304	197
304	197
64	224
304	197
304	199
304	209
304	204
128	237
304	195
304	209
304	193
304	206
304	198
304	209
304	211
304	190
256	267
304	195
304	201
304	202
304	185
304	187
304	195
304	195
304	218
304	193
304	202
304	192
304	208
304	221
200	184
200	143
24	236
24	228
32	187
14	113
14	78
14	75
14	77
365	229
8	223
8	151
8	134
10	172
9	95
9	116
128	201
128	2671
5	94
192	234
4	118
2	136
128	148
3	131
11	144
200	269
304	439
304	319
304	243
512	210
304	206
304	217
304	228
304	258
304	250
304	252
304	223
304	217
304	225
304	229
304	257
304	239
304	230
304	1110
304	383
304	327
304	676
304	311
304	305
304	277
304	218
304	242
304	232
304	223
304	214
304	200
304	205
200	378
200	174
24	177
64	186
24	185
32	431
14	101
14	71
14	116
14	70
365	181
4	184
4	142
4	144
10	138
9	113
9	134
128	201
128	216
6	425
2	175
128	258
5	165
3	135
11	153
200	223
304	497
304	217
304	202
304	204
